Song_name,Song_URL_on_Youtube,singer,language,emotion
Shape of You,https://www.youtube.com/watch?v=JGwWNGJdvx8,Ed Sheeran,English,Happy
Despacito,https://www.youtube.com/watch?v=kJQP7kiw5Fk,Luis Fonsi,Spanish,Sad
Someone Like You,https://www.youtube.com/watch?v=hLQl3WQQoQ0,Adele,English,Sad
Bailando,https://www.youtube.com/watch?v=K4wz9WgF2Cg,Enrique Iglesias,Spanish,Happy
Blinding Lights,https://www.youtube.com/watch?v=4NRXx6U8ABQ,The Weeknd,English,Happy
Rolling in the Deep,https://www.youtube.com/watch?v=rYEDA3JcQqw,Adele,English,Sad
Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs,Pharrell Williams,English,Happy
La Bamba,https://www.youtube.com/watch?v=VtvjbmoDx-I,Ritchie Valens,Spanish,Happy
All of Me,https://www.youtube.com/watch?v=8JX4fu4IkH0,John Legend,English,Romantic
Mi Gente,https://www.youtube.com/watch?v=wnJ6LuUFpMo,J Balvin,Spanish,Happy
