1 | Title | Definition | No
2 | NarrativeText | aa? Ultrasound technology allows doctors to “see inside a patient without resorting to surgery. A transmit- ter sends high frequency sound waves into the body, where they bounce off the different tissues and organs to produce a distinctive pattern of echoes. A receiver “hears” the returning echo pattern and forwards it to a computer, which translates the data into an image on a television screen. Because ultrasound can distinguish subtle variations between soft, fluid-filled tissues, it is particularly useful in providing diagnostic images of the abdomen. Ultrasound can also be used in treatment. | No
3 | Title | Purpose | No
4 | NarrativeText | The potential medical applications of ultrasound were first recognized in the 1940s as an outgrowth of the sonar technology developed to detect submarines during World War IL. The first useful medical images were pro- duced in the early 1950s, and, by 1965, ultrasound quali- ty had improved to the point that it came into general medical use. Improvements in the technology, applica- tion, and interpretation of ultrasound continue. Its low cost, versatility, safety and speed have brought it into the top drawer of medical imaging techniques. | No
5 | NarrativeText | While pelvic ultrasound is widely known and com- monly used for fetal monitoring during pregnancy, ultrasound is also routinely used for general abdominal imaging. It has great advantage over x-ray imaging tech- nologies in that it does not damage tissues with ionizing radiation. Ultrasound is also generally far better than plain x rays at distinguishing the subtle variations of soft tissue structures, and can be used in any of several modes, depending on the need at hand. | No
6 | NarrativeText | As an imaging tool, abdominal ultrasound generally is warranted for patients afflicted with: chronic or acute abdominal pain; abdominal trauma; an obvious or sus- pected abdominal mass; symptoms of liver disease, pan- creatic disease, gallstones, spleen disease, kidney dis- ease and urinary blockage; or symptoms of an abdominal aortic aneurysm. Specifically: ¢ Abdominal pain. Whether acute or chronic, pain can signal a serious problem—from organ malfunction or injury to the presence of malignant growths. Ultrasound scanning can help doctors quickly sort through poten- tial causes when presented with general or ambiguous symptoms. All of the major abdominal organs can be studied for signs of disease that appear as changes in size, shape and internal structure. | No
7 | ListItem | Abdominal trauma. After a serious accident, such as a car crash or a fall, internal bleeding from injured abdominal organs is often the most serious threat to survival. Neither the injuries nor the bleeding are immediately apparent. Ultrasound is very useful as an initial scan when abdominal trauma is suspected, and it can be used to pinpoint the location, cause, and severity of hemorrhaging. In the case of puncture wounds, from a bullet for example, ultrasound can locate the foreign object and provide a preliminary survey of the damage. The easy portability and versatility of ultrasound tech- nology has brought it into common emergency room use, and even into limited ambulance service. | No
8 | ListItem | ¢ Abdominal mass. Abnormal growths—tumors, cysts, abscesses, scar tissue and accessory organs—can be located and tentatively identified with ultrasound. In particular, potentially malignant solid tumors can be distinguished from benign fluid-filled cysts and abscesses. Masses and malformations in any organ or part of the abdomen can be found. | No
9 | ListItem | Liver disease. The types and underlying causes of liver disease are numerous, though jaundice tends to be a general symptom. Ultrasound can differentiate between many of the types and causes of liver malfunction, and is particularly good at identifying obstruction of the bile ducts and cirrhosis, which is characterized by abnormal fibrous growths and reduced blood flow. | No
10 | ListItem | Pancreatic disease. Inflammation and malformation of the pancreas are readily identified by ultrasound, as are pancreatic stones (calculi), which can disrupt proper functioning. | No
11 | ListItem | Gallstones. Gallstones cause more hospital admissions than any other digestive malady. These calculi can cause painful inflammation of the gallbladder and also obstruct the bile ducts that carry digestive enzymes from the gallbladder and liver to the intestines. Gall- stones are readily identifiable with ultrasound. | No
12 | ListItem | Spleen disease. The spleen is particularly prone to injury during abdominal trauma. It may also become painfully inflamed when beset with infection or cancer. These conditions also lend themselves well to ultrasonic inspection and diagnosis. | No
13 | ListItem | Kidney disease. The kidneys are also prone to traumatic injury and are the organs most likely to form calculi, which can block the flow of urine and cause blood poi- soning (uremia). A variety of diseases causing distinct changes in kidney morphology can also lead to com- plete kidney failure. Ultrasound imaging has proven extremely useful in diagnosing kidney disorders. | No
14 | ListItem | Abdominal aortic aneurysm. This is a bulging weak spot in the abdominal aorta, which supplies blood directly from the heart to the entire lower body. These aneurysms are relatively common and increase in prevalence with age. A burst aortic aneurysm is immi- nently life-threatening. However, they can be readily identified and monitored with ultrasound before acute complications result. | No
15 | NarrativeText | Ultrasound technology can also be used for treat- ment purposes, most frequently as a visual aid during surgical procedures—such as guiding needle placement to drain fluid from a cyst, or to extract tumor cells for biopsy. Increasingly, direct therapeutic applications for ultrasound are being developed. | No
16 | NarrativeText | The direct therapeutic value of ultrasonic waves lies in their mechanical nature. They are shock waves, just like audible sound, and vibrate the materials through which they pass. These vibrations are mild, virtually unnotice- able at the frequencies and intensities used for imaging. Properly focused however, high-intensity ultrasound can be used to heat and physically agitate targeted tissues. | No
17 | NarrativeText | High-intensity ultrasound is used routinely to treat soft tissue injuries, such as strains, tears and associated scarring. The heating and agitation are believed to pro- mote rapid healing through increased circulation. Strong- ly focused, high-intensity, high-frequency ultrasound can also be used to physically destroy certain types of tumors, as well as gallstones and other types of calculi. Developing new treatment applications for ultrasound is an active area of medical research. | No
18 | Title | Precautions | No
19 | NarrativeText | Properly performed, ultrasound imaging is virtually without risk or side effects. Some patients report feeling a slight tingling and/or warmth while being scanned, but most feel nothing at all. Ultrasound waves of appropriate frequency and intensity are not known to cause or aggra- vate any medical condition, though any woman who thinks she might be pregnant should raise the issue with her doctor before undergoing an abdominal ultrasound. | No
20 | NarrativeText | The value of ultrasound imaging as a medical tool, however, depends greatly on the quality of the equipment used and the skill of the medical personnel operating it. Improperly performed and/or interpreted, ultrasound can be worse than useless if it indicates that a problem exists where there is none, or fails to detect a significant condi- tion. Basic ultrasound equipment is relatively inexpen- sive to obtain, and any doctor with the equipment can perform the procedure whether qualified or not. Patients should not hesitate to verify the credentials of techni- cians and doctors performing ultrasounds, as well as the quality of the equipment used and the benefits of the pro- posed procedure. | No
21 | NarrativeText | In cases where ultrasound is used as a treatment tool, patients should educate themselves about the proposed procedure with the help of their doctors—as is appropri- ate before any surgical procedure. Also, any abdominal ultrasound procedure, diagnostic or therapeutic, may be hampered by a patient’s body type or other factors, such as the presence of excessive bowel gas (which is opaque to ultrasound). In particular, very obese people are often not good candidates for abdominal ultrasound. | No
22 | Title | Description | No
